Applications,Power usage,Priority,Carbon emission
Zoom,3.1237826462217657,Medium,3.010076957899294
Lively,1.2400372442304006,Medium,1.194899888540414
PhoneExperienceHost,1.1171485106151218,Medium,1.0764843048287314
POWERPNT,0.8375609255823624,Medium,0.8070737078911645
EXCEL,0.8216978846075865,Medium,0.7917880816078704
GameBar,0.8205123868762624,Medium,0.7906457359939664
GameBarFTServer,0.7205961623889116,Medium,0.694366462077955
DataExchangeHost,0.5992070174494714,Medium,0.5773958820143106
spacedeskServiceTray,0.5706649431287705,Medium,0.5498927391988834
CredentialEnrollmentManager,0.5070653944583009,Medium,0.48860821410001876
AutoHotkeyU64,0.4323078169452108,Medium,0.4165718124084052
spacedeskService,0.38519134212807804,Medium,0.37117037727461605
GameBarPresenceWriter,0.3810882414082417,Medium,0.3672166294209817
MK10,0.342531833626131,Medium,0.3300636748821398
WhatsApp,0.2940720978584351,Medium,0.28336787349638803
Fetch,0.2392026989913559,Medium,0.23049572074807056
audiodg,0.18933199253349203,Medium,0.18244030800527292
Microsoft.SharePoint,0.1505077852959864,Low,0.14502930191121252
BraveCrashHandler,0.1298010349521403,Medium,0.1250762772798824
BraveCrashHandler64,0.08267914553114533,Medium,0.07966962463381165
