Applications,Power usage,Priority,Carbon emission,Normalized Co2E
Zoom,3.1237826462217657,Medium,3.010076957899294,1.0
Lively,1.2400372442304006,Medium,1.194899888540414,0.38057175575787694
PhoneExperienceHost,1.1171485106151218,Medium,1.0764843048287314,0.34016249853023856
POWERPNT,0.8375609255823624,Medium,0.8070737078911645,0.24822627045734783
EXCEL,0.8216978846075865,Medium,0.7917880816078704,0.24301005832541167
GameBar,0.8205123868762624,Medium,0.7906457359939664,0.24262023347036973
GameBarFTServer,0.7205961623889116,Medium,0.694366462077955,0.20976498061078755
DataExchangeHost,0.5992070174494714,Medium,0.5773958820143106,0.1698488301371607
spacedeskServiceTray,0.5706649431287705,Medium,0.5498927391988834,0.16046339675279253
CredentialEnrollmentManager,0.5070653944583009,Medium,0.4886082141000187,0.13955008398457316
AutoHotkeyU64,0.4323078169452108,Medium,0.4165718124084052,0.11496769884177453
spacedeskService,0.385191342128078,Medium,0.371170377274616,0.09947448238056797
GameBarPresenceWriter,0.3810882414082417,Medium,0.3672166294209817,0.09812526795267872
MK10,0.342531833626131,Medium,0.3300636748821398,0.08544684126534144
WhatsApp,0.2940720978584351,Medium,0.283367873496388,0.0695119229842994
Fetch,0.2392026989913559,Medium,0.2304957207480705,0.05146932796751731
audiodg,0.189331992533492,Medium,0.1824403080052729,0.03507044300798258
Microsoft.SharePoint,0.1505077852959864,Low,0.1450293019112125,0.022303956359735057
BraveCrashHandler,0.1298010349521403,Medium,0.1250762772798824,0.015494996934597546
BraveCrashHandler64,0.0826791455311453,Medium,0.0796696246338116,0.0
